energy of the configurations with given concentration of disorder
   590000 -10060.0 -9548.0 -9304.0 -8816.0 -7308.0 -5692.0 -3152.0
   600000 -10060.0 -9548.0 -9304.0 -8816.0 -7308.0 -5692.0 -3152.0
   610000 -10060.0 -9548.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   620000 -10060.0 -9556.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   630000 -10060.0 -9556.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   640000 -10060.0 -9556.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   650000 -10060.0 -9556.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   660000 -10060.0 -9564.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   670000 -10060.0 -9564.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   680000 -10060.0 -9564.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   690000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   700000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   710000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   720000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   730000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   740000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   750000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   760000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   770000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   780000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   790000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   800000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   810000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
   820000 -10060.0 -9572.0 -9308.0 -8816.0 -7308.0 -5692.0 -3152.0
